time_id,class_id,period,begin,end
50,8877,1,1900-01-03T07:00:00.000Z,1900-01-03T08:30:00.000Z
51,8880,1,1900-01-01T04:00:00.000Z,1900-01-01T05:00:00.000Z
52,8883,1,1900-01-02T05:30:00.000Z,1900-01-02T07:00:00.000Z
53,8886,1,1900-01-02T01:30:00.000Z,1900-01-02T03:00:00.000Z
54,8889,1,1900-01-01T04:00:00.000Z,1900-01-01T05:30:00.000Z
55,8892,1,1900-01-02T05:30:00.000Z,1900-01-02T07:00:00.000Z
56,8895,1,1900-01-01T00:00:00.000Z,1900-01-01T01:30:00.000Z
57,8898,1,1900-01-05T23:00:00.000Z,1900-01-06T01:00:00.000Z
58,8901,1,1900-01-04T09:00:00.000Z,1900-01-04T11:00:00.000Z
59,8904,1,1900-01-02T01:30:00.000Z,1900-01-02T03:00:00.000Z
60,8907,1,1900-01-01T01:30:00.000Z,1900-01-01T03:00:00.000Z
61,8910,1,1900-01-05T23:00:00.000Z,1900-01-06T01:00:00.000Z
62,8913,1,1900-01-02T07:00:00.000Z,1900-01-02T09:00:00.000Z
63,8916,1,1900-01-01T05:30:00.000Z,1900-01-01T07:00:00.000Z
64,8919,1,1900-01-03T05:30:00.000Z,1900-01-03T07:00:00.000Z
65,8922,1,1900-01-01T00:00:00.000Z,1900-01-01T01:30:00.000Z
66,8925,1,1900-01-01T01:30:00.000Z,1900-01-01T03:00:00.000Z
67,8928,1,1900-01-03T05:30:00.000Z,1900-01-03T07:00:00.000Z
68,8931,1,1900-01-01T07:00:00.000Z,1900-01-01T09:00:00.000Z
69,8833,1,1900-01-04T02:00:00.000Z,1900-01-04T03:30:00.000Z
70,8836,1,1900-01-01T02:00:00.000Z,1900-01-01T03:30:00.000Z
71,8839,1,1900-01-01T04:00:00.000Z,1900-01-01T05:30:00.000Z
72,8842,1,1900-01-02T04:00:00.000Z,1900-01-02T05:30:00.000Z
73,8845,1,1900-01-01T04:00:00.000Z,1900-01-01T05:00:00.000Z
74,8848,1,1900-01-03T04:30:00.000Z,1900-01-03T06:00:00.000Z
75,8851,1,1900-01-03T06:00:00.000Z,1900-01-03T07:30:00.000Z
76,8854,1,1900-01-02T01:00:00.000Z,1900-01-02T03:00:00.000Z
77,8857,1,1900-01-01T07:30:00.000Z,1900-01-01T09:30:00.000Z
78,8860,1,1900-01-03T04:00:00.000Z,1900-01-03T05:30:00.000Z
79,8863,1,1900-01-02T01:30:00.000Z,1900-01-02T03:00:00.000Z
80,8866,1,1900-01-03T04:00:00.000Z,1900-01-03T05:30:00.000Z
81,8869,1,1900-01-01T07:00:00.000Z,1900-01-01T08:30:00.000Z
82,8872,1,1900-01-01T04:00:00.000Z,1900-01-01T06:00:00.000Z
83,8875,1,1900-01-05T04:00:00.000Z,1900-01-05T05:30:00.000Z
84,8878,1,1900-01-01T05:30:00.000Z,1900-01-01T07:00:00.000Z
85,8881,1,1900-01-06T00:00:00.000Z,1900-01-06T02:00:00.000Z
86,8884,1,NO,NO
87,8887,1,1900-01-01T00:00:00.000Z,1900-01-01T01:30:00.000Z
88,8890,1,1900-01-06T03:00:00.000Z,1900-01-06T05:00:00.000Z
89,8893,1,1900-01-01T04:00:00.000Z,1900-01-01T05:30:00.000Z
90,8831,2,1900-01-05T04:00:00.000Z,1900-01-05T05:30:00.000Z
91,8834,2,1900-01-04T00:00:00.000Z,1900-01-04T02:00:00.000Z
92,8837,2,1900-01-05T05:30:00.000Z,1900-01-05T07:00:00.000Z
93,8840,2,1900-01-05T05:30:00.000Z,1900-01-05T07:00:00.000Z
94,8843,2,1900-01-03T07:00:00.000Z,1900-01-03T08:30:00.000Z
95,8849,2,1900-01-05T06:00:00.000Z,1900-01-05T07:30:00.000Z
96,8852,2,1900-01-05T04:30:00.000Z,1900-01-05T06:00:00.000Z
97,8855,2,1900-01-03T04:30:00.000Z,1900-01-03T06:00:00.000Z
98,8858,2,1900-01-05T01:30:00.000Z,1900-01-05T03:00:00.000Z
99,8861,2,1900-01-04T04:00:00.000Z,1900-01-04T05:30:00.000Z
100,8867,2,1900-01-02T07:00:00.000Z,1900-01-02T08:30:00.000Z
101,8870,2,1900-01-04T04:00:00.000Z,1900-01-04T05:30:00.000Z
102,8873,2,1900-01-04T01:30:00.000Z,1900-01-04T03:00:00.000Z
103,8876,2,1900-01-02T06:00:00.000Z,1900-01-02T08:00:00.000Z
104,8879,2,1900-01-04T07:00:00.000Z,1900-01-04T08:30:00.000Z
105,8882,2,1900-01-04T02:00:00.000Z,1900-01-04T04:00:00.000Z
106,8885,2,1900-01-05T04:00:00.000Z,1900-01-05T05:30:00.000Z
107,8888,2,1900-01-03T04:00:00.000Z,1900-01-03T05:30:00.000Z
108,8894,2,1900-01-04T01:30:00.000Z,1900-01-04T03:00:00.000Z
109,8897,2,1900-01-04T04:00:00.000Z,1900-01-04T06:00:00.000Z
110,8900,2,1900-01-04T07:00:00.000Z,1900-01-04T08:30:00.000Z
111,8903,2,1900-01-03T05:30:00.000Z,1900-01-03T07:00:00.000Z
112,8906,2,1900-01-03T00:00:00.000Z,1900-01-03T01:30:00.000Z
113,8912,2,1900-01-03T05:30:00.000Z,1900-01-03T07:00:00.000Z
114,8921,2,1900-01-04T07:30:00.000Z,1900-01-04T09:00:00.000Z
115,8924,2,1900-01-03T00:00:00.000Z,1900-01-03T01:30:00.000Z
116,8930,2,1900-01-03T01:30:00.000Z,1900-01-03T03:00:00.000Z
117,8832,2,1900-01-03T01:00:00.000Z,1900-01-03T02:00:00.000Z
118,8835,2,1900-01-03T00:00:00.000Z,1900-01-03T01:30:00.000Z
119,8847,2,1900-01-04T01:30:00.000Z,1900-01-04T03:00:00.000Z
120,8850,2,1900-01-03T01:30:00.000Z,1900-01-03T03:00:00.000Z
121,8856,2,1900-01-03T06:00:00.000Z,1900-01-03T07:30:00.000Z
122,8859,2,1900-01-05T07:00:00.000Z,1900-01-05T08:30:00.000Z
123,8862,2,1900-01-05T08:30:00.000Z,1900-01-05T10:00:00.000Z
124,8865,2,1900-01-05T07:00:00.000Z,1900-01-05T08:30:00.000Z
125,8868,2,1900-01-03T05:30:00.000Z,1900-01-03T07:00:00.000Z
126,8871,2,1900-01-04T01:30:00.000Z,1900-01-04T03:00:00.000Z
127,8874,2,1900-01-04T00:00:00.000Z,1900-01-04T01:30:00.000Z
128,8877,2,1900-01-05T01:30:00.000Z,1900-01-05T03:00:00.000Z
129,8880,2,1900-01-01T05:00:00.000Z,1900-01-01T09:00:00.000Z
130,8883,2,1900-01-04T05:30:00.000Z,1900-01-04T07:00:00.000Z
131,8886,2,1900-01-04T01:30:00.000Z,1900-01-04T03:00:00.000Z
132,8889,2,1900-01-03T04:00:00.000Z,1900-01-03T05:30:00.000Z
133,8892,2,1900-01-04T04:00:00.000Z,1900-01-04T05:30:00.000Z
134,8895,2,1900-01-03T05:30:00.000Z,1900-01-03T07:00:00.000Z
135,8901,2,1900-01-05T04:00:00.000Z,1900-01-05T06:00:00.000Z
136,8904,2,1900-01-04T01:30:00.000Z,1900-01-04T03:00:00.000Z
137,8907,2,1900-01-03T01:30:00.000Z,1900-01-03T03:00:00.000Z
138,8913,2,1900-01-02T09:00:00.000Z,1900-01-02T11:00:00.000Z
139,8916,2,1900-01-03T00:00:00.000Z,1900-01-03T01:30:00.000Z
140,8919,2,1900-01-05T05:30:00.000Z,1900-01-05T07:00:00.000Z
141,8922,2,1900-01-02T01:30:00.000Z,1900-01-02T03:00:00.000Z
142,8925,2,1900-01-03T01:30:00.000Z,1900-01-03T03:00:00.000Z
143,8928,2,1900-01-05T01:30:00.000Z,1900-01-05T03:00:00.000Z
144,8833,2,1900-01-05T01:30:00.000Z,1900-01-05T03:00:00.000Z
145,8836,2,1900-01-03T04:00:00.000Z,1900-01-03T05:30:00.000Z
146,8839,2,1900-01-04T07:00:00.000Z,1900-01-04T08:30:00.000Z
147,8842,2,1900-01-04T04:00:00.000Z,1900-01-04T05:30:00.000Z
148,8845,2,1900-01-01T05:00:00.000Z,1900-01-01T07:00:00.000Z
149,8848,2,1900-01-04T01:30:00.000Z,1900-01-04T03:00:00.000Z
150,8851,2,1900-01-05T04:30:00.000Z,1900-01-05T06:00:00.000Z
151,8857,2,1900-01-04T04:00:00.000Z,1900-01-04T06:00:00.000Z
152,8860,2,1900-01-05T04:00:00.000Z,1900-01-05T05:30:00.000Z
153,8863,2,1900-01-05T01:30:00.000Z,1900-01-05T03:00:00.000Z
154,8866,2,1900-01-05T04:00:00.000Z,1900-01-05T05:30:00.000Z
155,8869,2,1900-01-02T04:00:00.000Z,1900-01-02T05:30:00.000Z
156,8872,2,1900-01-04T09:00:00.000Z,1900-01-04T11:00:00.000Z
157,8875,2,1900-01-05T05:30:00.000Z,1900-01-05T07:00:00.000Z
158,8878,2,1900-01-03T01:30:00.000Z,1900-01-03T03:00:00.000Z
159,8881,2,1900-01-06T02:00:00.000Z,1900-01-06T04:00:00.000Z
160,8887,2,1900-01-03T00:00:00.000Z,1900-01-03T01:30:00.000Z
161,8893,2,1900-01-02T04:00:00.000Z,1900-01-02T05:30:00.000Z
